path,total_frames,drops,drop_rate%,max_ifi_ms
sub-001\phase_0\不\frame_log.csv,38,0,0.0,0.0
sub-001\phase_0\中\frame_log.csv,30,0,0.0,0.0
sub-001\phase_0\人\frame_log.csv,48,0,0.0,0.0
sub-001\phase_0\又\frame_log.csv,39,0,0.0,0.0
sub-001\phase_0\土\frame_log.csv,43,0,0.0,0.0
sub-001\phase_0\大\frame_log.csv,57,0,0.0,0.0
sub-001\phase_0\女\frame_log.csv,26,0,0.0,0.0
sub-001\phase_0\子\frame_log.csv,35,0,0.0,0.0
sub-001\phase_0\心\frame_log.csv,39,0,0.0,0.0
sub-001\phase_0\日\frame_log.csv,38,0,0.0,0.0
sub-001\phase_0\月\frame_log.csv,96,0,0.0,0.0
sub-001\phase_0\木\frame_log.csv,76,0,0.0,0.0
sub-001\phase_0\王\frame_log.csv,34,0,0.0,0.0
sub-002\phase_0\不\frame_log.csv,61,0,0.0,0.0
sub-002\phase_0\中\frame_log.csv,70,0,0.0,0.0
sub-002\phase_0\人\frame_log.csv,89,0,0.0,0.0
sub-002\phase_0\又\frame_log.csv,91,0,0.0,0.0
sub-002\phase_0\土\frame_log.csv,91,0,0.0,0.0
sub-002\phase_0\大\frame_log.csv,75,0,0.0,0.0
sub-002\phase_0\女\frame_log.csv,81,0,0.0,0.0
sub-002\phase_0\子\frame_log.csv,64,1,1.56,33.41
sub-002\phase_0\心\frame_log.csv,103,0,0.0,0.0
sub-002\phase_0\日\frame_log.csv,131,0,0.0,0.0
sub-002\phase_0\月\frame_log.csv,153,0,0.0,0.0
sub-002\phase_0\木\frame_log.csv,74,0,0.0,0.0
sub-002\phase_0\王\frame_log.csv,66,0,0.0,0.0
sub-002\trial_summary\pair_001\frame_log.csv,1322,4,0.3,100.26
sub-002\trial_summary\pair_002\frame_log.csv,1664,9,0.54,100.0
sub-002\trial_summary\pair_004\frame_log.csv,1685,4,0.24,116.72
sub-002\trial_summary\pair_007\frame_log.csv,1439,4,0.28,117.01
sub-002\trial_summary\pair_008\frame_log.csv,1971,4,0.2,150.29
sub-002\trial_summary\pair_009\frame_log.csv,1455,4,0.27,766.82
sub-002\trial_summary\pair_010\frame_log.csv,1239,4,0.32,100.04
sub-002\trial_summary\pair_011\frame_log.csv,1326,4,0.3,116.98
sub-002\trial_summary\pair_012\frame_log.csv,1561,4,0.26,516.75
sub-002\trial_summary\pair_013\frame_log.csv,1922,4,0.21,2267.46
sub-002\trial_summary\pair_014\frame_log.csv,1266,5,0.39,150.02
sub-002\trial_summary\pair_015\frame_log.csv,2188,4,0.18,100.01
sub-002\trial_summary\pair_016\frame_log.csv,1890,4,0.21,149.9
sub-002\trial_summary\pair_019\frame_log.csv,2039,3,0.15,133.62
sub-002\trial_summary\pair_020\frame_log.csv,1532,4,0.26,100.41
