path,total_frames,drops,drop_rate%,max_ifi_ms
sub-999\phase_0\不\frame_log.csv,1,0,0.0,0.0
sub-999\phase_0\中\frame_log.csv,1,0,0.0,0.0
sub-999\phase_0\人\frame_log.csv,1,0,0.0,0.0
sub-999\phase_0\又\frame_log.csv,1,0,0.0,0.0
sub-999\phase_0\土\frame_log.csv,1,0,0.0,0.0
sub-999\phase_0\大\frame_log.csv,1,0,0.0,0.0
sub-999\phase_0\女\frame_log.csv,1,0,0.0,0.0
sub-999\phase_0\子\frame_log.csv,1,0,0.0,0.0
sub-999\phase_0\心\frame_log.csv,1,0,0.0,0.0
sub-999\phase_0\日\frame_log.csv,1,0,0.0,0.0
sub-999\phase_0\月\frame_log.csv,1,0,0.0,0.0
sub-999\phase_0\木\frame_log.csv,1,0,0.0,0.0
sub-999\phase_0\王\frame_log.csv,1,0,0.0,0.0
sub-999\trial_summary\pair_001\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_002\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_003\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_004\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_005\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_006\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_007\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_008\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_009\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_010\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_011\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_012\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_013\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_014\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_015\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_016\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_017\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_018\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_019\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_020\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_021\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_022\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_023\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_024\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_025\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_026\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_027\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_028\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_029\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_030\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_031\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_032\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_033\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_034\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_035\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_036\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_037\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_038\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_039\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_040\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_041\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_042\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_043\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_044\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_045\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_046\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_047\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_048\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_049\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_050\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_051\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_052\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_053\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_054\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_055\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_056\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_057\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_058\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_059\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_060\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_061\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_062\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_063\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_064\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_065\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_066\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_067\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_068\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_069\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_070\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_071\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_072\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_073\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_074\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_075\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_076\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_077\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_078\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_079\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_080\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_081\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_082\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_083\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_084\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_085\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_086\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_087\frame_log.csv,5,0,0.0,0.0
sub-999\trial_summary\pair_088\frame_log.csv,5,0,0.0,0.0
