frame_idx,phase,trial_id,stim_pair_id,elapsed_time,global_time,flip_time,event_marker
0,phase1,88,pair_089,0.0,2.881781,8.147088,stimulus_onset
1,phase1,88,pair_089,0.017835,2.899753,8.164923,
2,phase1,88,pair_089,0.034874,2.916699,8.181962,
3,phase1,88,pair_089,0.051254,2.93306,8.198342,
4,phase1,88,pair_089,0.068278,2.950114,8.215365,
5,phase1,88,pair_089,0.084521,2.966334,8.231609,
6,phase1,88,pair_089,0.100858,2.982678,8.247946,
7,phase1,88,pair_089,0.117478,2.999288,8.264565,
8,phase1,88,pair_089,0.135294,3.017119,8.282382,
9,phase1,88,pair_089,0.150724,3.03253,8.297812,
10,phase1,88,pair_089,0.167787,3.049603,8.314874,
11,phase1,88,pair_089,0.184566,3.066382,8.331654,
12,phase1,88,pair_089,0.201798,3.083622,8.348886,
13,phase1,88,pair_089,0.217917,3.099727,8.365005,
14,phase1,88,pair_089,0.234546,3.116366,8.381634,
15,phase1,88,pair_089,0.251381,3.133212,8.398469,
16,phase1,88,pair_089,0.267905,3.149709,8.414993,
17,phase1,88,pair_089,0.284431,3.166236,8.431519,
18,phase1,88,pair_089,0.301463,3.183284,8.448551,
19,phase1,88,pair_089,0.31804,3.199857,8.465128,
20,phase1,88,pair_089,0.334288,3.216096,8.481376,
21,phase1,88,pair_089,0.350883,3.232684,8.497971,
22,phase1,88,pair_089,0.367744,3.249568,8.514832,
23,phase1,88,pair_089,0.384259,3.266072,8.531346,
24,phase1,88,pair_089,0.400996,3.282814,8.548084,
25,phase1,88,pair_089,0.417674,3.299499,8.564762,
26,phase1,88,pair_089,0.434226,3.316036,8.581314,
27,phase1,88,pair_089,0.450654,3.332473,8.597742,
28,phase1,88,pair_089,0.467399,3.34921,8.614487,
29,phase1,88,pair_089,0.484274,3.366099,8.631362,
30,phase1,88,pair_089,0.501258,3.38308,8.648346,
31,phase1,88,pair_089,0.517776,3.399669,8.664864,
32,phase1,88,pair_089,0.534656,3.416461,8.681744,
33,phase1,88,pair_089,0.55125,3.433089,8.698338,
34,phase1,88,pair_089,0.568231,3.450047,8.715319,
35,phase1,88,pair_089,0.584739,3.466565,8.731827,
36,phase1,88,pair_089,0.60121,3.483032,8.748298,
37,phase1,88,pair_089,0.617894,3.499713,8.764982,
38,phase1,88,pair_089,0.634764,3.516608,8.781852,
39,phase1,88,pair_089,-2.882191,3.733554,5.264897,response
