frame_idx,phase,trial_id,stim_pair_id,elapsed_time,global_time,flip_time,event_marker
0,phase_0,3,人,0.0,4.863569,10.325643,stimulus_onset
1,phase_0,3,人,0.019101,4.882682,10.344743,
2,phase_0,3,人,0.0352,4.898756,10.360843,
3,phase_0,3,人,0.051693,4.915242,10.377336,
4,phase_0,3,人,0.068283,4.931866,10.393926,
5,phase_0,3,人,0.086081,4.949651,10.411724,
6,phase_0,3,人,0.102626,4.966193,10.428269,
7,phase_0,3,人,0.118182,4.981736,10.443825,
8,phase_0,3,人,0.134672,4.998229,10.460315,
9,phase_0,3,人,0.152553,5.016114,10.478196,
10,phase_0,3,人,0.167335,5.030947,10.492978,
11,phase_0,3,人,0.200342,5.063964,10.525984,
12,phase_0,3,人,0.233463,5.097136,10.559106,
13,phase_0,3,人,0.267048,5.130723,10.59269,
14,phase_0,3,人,0.300052,5.163656,10.625695,
15,phase_0,3,人,0.333235,5.19684,10.658877,
16,phase_0,3,人,0.366529,5.230173,10.692172,
17,phase_0,3,人,0.400064,5.263706,10.725707,
18,phase_0,3,人,0.433166,5.296768,10.758809,
19,phase_0,3,人,0.466561,5.330184,10.792203,
20,phase_0,3,人,0.500574,5.36422,10.826217,
21,phase_0,3,人,0.533544,5.397156,10.859186,
22,phase_0,3,人,0.55184,5.415542,10.877483,
23,phase_0,3,人,-4.864457,5.632224,5.461185,response
