frame_idx,phase,trial_id,stim_pair_id,elapsed_time,global_time,flip_time,event_marker
0,phase_0,6,又,0.0,67.596798,1223.940775,stimulus_onset
1,phase_0,6,又,0.017054,67.613838,1223.957829,
2,phase_0,6,又,0.033142,67.629931,1223.973918,
3,phase_0,6,又,0.050239,67.647044,1223.991014,
4,phase_0,6,又,0.067359,67.664155,1224.008135,
5,phase_0,6,又,0.083599,67.680405,1224.024374,
6,phase_0,6,又,0.100747,67.69753,1224.041523,
7,phase_0,6,又,0.117193,67.714036,1224.057969,
8,phase_0,6,又,0.133901,67.730718,1224.074677,
9,phase_0,6,又,0.150452,67.747265,1224.091228,
10,phase_0,6,又,0.167113,67.763904,1224.107888,
11,phase_0,6,又,0.183792,67.780936,1224.124567,
12,phase_0,6,又,0.199969,67.796774,1224.140744,
13,phase_0,6,又,0.217075,67.813854,1224.15785,
14,phase_0,6,又,0.233668,67.830478,1224.174443,
15,phase_0,6,又,0.250353,67.847129,1224.191129,
16,phase_0,6,又,0.267483,67.864297,1224.208258,
17,phase_0,6,又,0.283833,67.880625,1224.224608,
18,phase_0,6,又,0.30036,67.897141,1224.241135,
19,phase_0,6,又,0.318213,67.915073,1224.258988,
20,phase_0,6,又,0.333593,67.930393,1224.274369,
21,phase_0,6,又,0.351106,67.947905,1224.291881,
22,phase_0,6,又,0.367234,67.964035,1224.308009,
23,phase_0,6,又,0.383742,67.980556,1224.324517,
24,phase_0,6,又,0.400523,67.997325,1224.341298,
25,phase_0,6,又,0.41671,68.013495,1224.357485,
26,phase_0,6,又,0.433925,68.030714,1224.3747,
27,phase_0,6,又,0.450377,68.047159,1224.391152,
28,phase_0,6,又,0.467006,68.063833,1224.407781,
29,phase_0,6,又,0.484467,68.0813,1224.425243,
30,phase_0,6,又,0.500295,68.09709,1224.44107,
31,phase_0,6,又,0.51707,68.113872,1224.457845,
32,phase_0,6,又,0.534289,68.131086,1224.475064,
33,phase_0,6,又,0.550478,68.147273,1224.491254,
34,phase_0,6,又,0.567457,68.164253,1224.508232,
35,phase_0,6,又,0.583385,68.180202,1224.52416,
36,phase_0,6,又,0.601165,68.197968,1224.54194,
37,phase_0,6,又,0.617603,68.214415,1224.558378,
38,phase_0,6,又,0.633348,68.230148,1224.574123,
39,phase_0,6,又,0.65055,68.247352,1224.591326,
40,phase_0,6,又,0.667,68.263801,1224.607776,
41,phase_0,6,又,0.684326,68.281119,1224.625101,
42,phase_0,6,又,0.700464,68.297259,1224.641239,
43,phase_0,6,又,0.717868,68.314726,1224.658643,
44,phase_0,6,又,0.73326,68.330086,1224.674036,
45,phase_0,6,又,0.750418,68.347253,1224.691193,
46,phase_0,6,又,0.766897,68.363689,1224.707672,
47,phase_0,6,又,0.783585,68.380376,1224.72436,
48,phase_0,6,又,0.80033,68.397113,1224.741105,
