frame_idx,phase,trial_id,stim_pair_id,elapsed_time,global_time,flip_time,event_marker
0,phase_0,2,日,0.0,5.691232,32.814346,stimulus_onset
1,phase_0,2,日,0.050109,5.741313,32.864455,
2,phase_0,2,日,0.099958,5.791182,32.914305,
3,phase_0,2,日,0.133364,5.824667,32.947711,
4,phase_0,2,日,0.183473,5.874678,32.99782,
5,phase_0,2,日,0.233377,5.924588,33.047723,
6,phase_0,2,日,0.283567,5.974868,33.097913,
7,phase_0,2,日,0.333895,6.025145,33.148242,
8,phase_0,2,日,0.384034,6.075635,33.19838,
9,phase_0,2,日,0.433379,6.124577,33.247725,
10,phase_0,2,日,0.483191,6.174392,33.297538,
11,phase_0,2,日,0.533345,6.224543,33.347691,
12,phase_0,2,日,0.583625,6.274826,33.397971,
13,phase_0,2,日,0.633776,6.324975,33.448123,
14,phase_0,2,日,0.683398,6.374597,33.497744,
15,phase_0,2,日,0.7335,6.424699,33.547847,
16,phase_0,2,日,0.766669,6.457866,33.581015,
17,phase_0,2,日,0.800247,6.491447,33.614593,
18,phase_0,2,日,0.850383,6.541583,33.66473,
19,phase_0,2,日,0.900165,6.591369,33.714512,
20,phase_0,2,日,0.950158,6.641365,33.764505,
21,phase_0,2,日,1.000032,6.691237,33.814378,
22,phase_0,2,日,1.049878,6.741112,33.864224,
23,phase_0,2,日,-5.695755,6.991302,27.118592,response
