frame_idx,phase,trial_id,stim_pair_id,elapsed_time,global_time,flip_time,event_marker
0,phase_0,1,月,0.0,1.700825,41.119395,stimulus_onset
1,phase_0,1,月,0.043531,1.744367,41.162925,
2,phase_0,1,月,0.077134,1.778031,41.196528,
3,phase_0,1,月,0.127453,1.828336,41.246847,
4,phase_0,1,月,0.177399,1.878244,41.296793,
5,phase_0,1,月,0.210544,1.911383,41.329939,
6,phase_0,1,月,0.260443,1.961256,41.379837,
7,phase_0,1,月,0.294012,1.994827,41.413407,
8,phase_0,1,月,0.327219,2.028052,41.446614,
9,phase_0,1,月,0.360651,2.061463,41.480045,
10,phase_0,1,月,0.39394,2.09475,41.513335,
11,phase_0,1,月,0.444058,2.14487,41.563453,
12,phase_0,1,月,0.477373,2.178183,41.596767,
13,phase_0,1,月,0.527591,2.228447,41.646986,
14,phase_0,1,月,0.577275,2.278085,41.696669,
15,phase_0,1,月,0.626692,2.327505,41.746087,
16,phase_0,1,月,0.67726,2.378073,41.796655,
17,phase_0,1,月,0.710614,2.411424,41.830008,
18,phase_0,1,月,0.743832,2.444665,41.863227,
19,phase_0,1,月,0.777322,2.478133,41.896716,
20,phase_0,1,月,0.810615,2.511426,41.93001,
21,phase_0,1,月,0.860707,2.561518,41.980101,
22,phase_0,1,月,0.910609,2.611418,42.030003,
23,phase_0,1,月,0.943863,2.64469,42.063258,
24,phase_0,1,月,0.977306,2.678116,42.096701,
25,phase_0,1,月,-1.868235,2.928485,39.25116,response
