frame_idx,phase,trial_id,stim_pair_id,elapsed_time,global_time,flip_time,event_marker
0,phase_1,118,pair_119,0.0,1093.279267,1100.793638,stimulus_onset
1,phase_1,118,pair_119,0.017216,1093.296441,1100.810854,
2,phase_1,118,pair_119,0.03453,1093.313762,1100.828168,
3,phase_1,118,pair_119,0.051067,1093.3304,1100.844705,
4,phase_1,118,pair_119,0.067648,1093.346901,1100.861285,
5,phase_1,118,pair_119,0.084216,1093.363555,1100.877854,
6,phase_1,118,pair_119,0.100919,1093.380158,1100.894557,
7,phase_1,118,pair_119,0.117702,1093.396967,1100.91134,
8,phase_1,118,pair_119,0.134201,1093.413427,1100.927839,
9,phase_1,118,pair_119,0.150933,1093.430162,1100.944571,
10,phase_1,118,pair_119,0.167953,1093.447188,1100.96159,
11,phase_1,118,pair_119,0.184133,1093.463384,1100.977771,
12,phase_1,118,pair_119,0.201029,1093.480373,1100.994667,
13,phase_1,118,pair_119,0.217986,1093.49721,1101.011623,
14,phase_1,118,pair_119,0.234387,1093.513612,1101.028025,
15,phase_1,118,pair_119,0.250761,1093.529984,1101.044399,
16,phase_1,118,pair_119,0.267179,1093.546402,1101.060816,
17,phase_1,118,pair_119,0.283865,1093.563095,1101.077503,
18,phase_1,118,pair_119,0.300697,1093.579972,1101.094335,
19,phase_1,118,pair_119,0.317454,1093.59674,1101.111091,
20,phase_1,118,pair_119,0.334141,1093.61338,1101.127778,
21,phase_1,118,pair_119,0.350533,1093.629839,1101.14417,
22,phase_1,118,pair_119,0.367317,1093.646642,1101.160955,
23,phase_1,118,pair_119,0.384468,1093.663722,1101.178106,
24,phase_1,118,pair_119,0.400611,1093.679853,1101.194249,
25,phase_1,118,pair_119,0.417409,1093.696666,1101.211047,
26,phase_1,118,pair_119,0.434314,1093.713561,1101.227952,
27,phase_1,118,pair_119,0.450855,1093.730161,1101.244493,
28,phase_1,118,pair_119,0.467482,1093.746723,1101.26112,
29,phase_1,118,pair_119,0.483773,1093.763013,1101.277411,
30,phase_1,118,pair_119,0.501012,1093.78033,1101.29465,
31,phase_1,118,pair_119,0.517252,1093.796528,1101.31089,
32,phase_1,118,pair_119,0.534042,1093.813267,1101.327679,
33,phase_1,118,pair_119,0.550566,1093.82983,1101.344204,
34,phase_1,118,pair_119,0.567835,1093.847091,1101.361473,
35,phase_1,118,pair_119,0.584362,1093.863888,1101.378,
36,phase_1,118,pair_119,0.601509,1093.880761,1101.395147,
37,phase_1,118,pair_119,0.617895,1093.897137,1101.411533,
38,phase_1,118,pair_119,0.635108,1093.914364,1101.428746,
39,phase_1,118,pair_119,0.651296,1093.930564,1101.444934,
40,phase_1,118,pair_119,0.667724,1093.946958,1101.461362,
41,phase_1,118,pair_119,0.684244,1093.963486,1101.477881,
42,phase_1,118,pair_119,0.700737,1093.979969,1101.494375,
43,phase_1,118,pair_119,0.717409,1093.996653,1101.511047,
44,phase_1,118,pair_119,0.734035,1094.013274,1101.527673,
45,phase_1,118,pair_119,0.750932,1094.030181,1101.54457,
46,phase_1,118,pair_119,0.767344,1094.046606,1101.560982,
47,phase_1,118,pair_119,0.784432,1094.06367,1101.57807,
48,phase_1,118,pair_119,0.801288,1094.080553,1101.594926,
49,phase_1,118,pair_119,0.818015,1094.097279,1101.611652,
50,phase_1,118,pair_119,0.833933,1094.113173,1101.627571,
51,phase_1,118,pair_119,0.850657,1094.130042,1101.644295,
52,phase_1,118,pair_119,0.867632,1094.14693,1101.661269,
53,phase_1,118,pair_119,0.884318,1094.163564,1101.677956,
54,phase_1,118,pair_119,0.900907,1094.180148,1101.694545,
55,phase_1,118,pair_119,0.917682,1094.196927,1101.71132,
56,phase_1,118,pair_119,0.934011,1094.213261,1101.727649,
57,phase_1,118,pair_119,0.95057,1094.229815,1101.744208,
58,phase_1,118,pair_119,0.968123,1094.247384,1101.76176,
59,phase_1,118,pair_119,0.984136,1094.263445,1101.777774,
60,phase_1,118,pair_119,1.000745,1094.279981,1101.794383,
61,phase_1,118,pair_119,1.017418,1094.296644,1101.811056,
62,phase_1,118,pair_119,1.033835,1094.313071,1101.827473,
63,phase_1,118,pair_119,1.050688,1094.329921,1101.844326,
64,phase_1,118,pair_119,1.067292,1094.346553,1101.86093,
65,phase_1,118,pair_119,-1093.280231,1094.563876,7.513407,response
