frame_idx,phase,trial_id,stim_pair_id,elapsed_time,global_time,flip_time,event_marker
0,phase_0,9,中,0.0,29.533262,39.391785,stimulus_onset
1,phase_0,9,中,0.016352,29.549613,39.408137,
2,phase_0,9,中,0.033343,29.566604,39.425129,
3,phase_0,9,中,0.049721,29.582983,39.441506,
4,phase_0,9,中,0.066356,29.599617,39.458142,
5,phase_0,9,中,0.083078,29.616338,39.474863,
6,phase_0,9,中,0.09967,29.63293,39.491455,
7,phase_0,9,中,0.116373,29.649633,39.508159,
8,phase_0,9,中,0.13302,29.66628,39.524805,
9,phase_0,9,中,0.149739,29.683001,39.541524,
10,phase_0,9,中,0.166345,29.699605,39.55813,
11,phase_0,9,中,0.183311,29.716571,39.575096,
12,phase_0,9,中,0.199681,29.732941,39.591466,
13,phase_0,9,中,0.216334,29.749594,39.608119,
14,phase_0,9,中,0.233306,29.766567,39.625091,
15,phase_0,9,中,0.249987,29.783247,39.641772,
16,phase_0,9,中,0.266354,29.799614,39.658139,
17,phase_0,9,中,0.283055,29.816317,39.67484,
18,phase_0,9,中,0.300015,29.833275,39.6918,
19,phase_0,9,中,0.31665,29.84991,39.708435,
20,phase_0,9,中,0.333007,29.866267,39.724792,
21,phase_0,9,中,0.349659,29.88292,39.741445,
22,phase_0,9,中,0.366338,29.899599,39.758123,
23,phase_0,9,中,0.382982,29.916242,39.774767,
24,phase_0,9,中,0.39968,29.932941,39.791465,
25,phase_0,9,中,0.416338,29.949599,39.808124,
26,phase_0,9,中,0.433269,29.966529,39.825054,
27,phase_0,9,中,0.450001,29.983262,39.841786,
28,phase_0,9,中,0.466348,29.999611,39.858134,
29,phase_0,9,中,0.483019,30.01628,39.874805,
30,phase_0,9,中,0.499679,30.032948,39.891464,
31,phase_0,9,中,0.51666,30.049921,39.908445,
32,phase_0,9,中,0.533281,30.066542,39.925066,
33,phase_0,9,中,0.549685,30.082945,39.94147,
34,phase_0,9,中,0.566664,30.099925,39.95845,
35,phase_0,9,中,0.583332,30.116592,39.975117,
36,phase_0,9,中,0.599682,30.132942,39.991467,
37,phase_0,9,中,0.616347,30.149608,40.008132,
38,phase_0,9,中,0.632939,30.1662,40.024724,
39,phase_0,9,中,0.650284,30.183547,40.042069,
40,phase_0,9,中,0.666306,30.199567,40.058091,
41,phase_0,9,中,0.683013,30.216275,40.074799,
42,phase_0,9,中,0.699709,30.232969,40.091494,
43,phase_0,9,中,0.716322,30.249583,40.108107,
44,phase_0,9,中,0.733284,30.266545,40.125069,
45,phase_0,9,中,0.749692,30.282953,40.141477,
46,phase_0,9,中,0.766379,30.29964,40.158165,
47,phase_0,9,中,0.782936,30.316196,40.174721,
48,phase_0,9,中,0.799976,30.333237,40.191761,
49,phase_0,9,中,0.816341,30.349601,40.208126,
50,phase_0,9,中,0.833057,30.366318,40.224842,
51,phase_0,9,中,0.849607,30.382868,40.241393,
52,phase_0,9,中,0.866669,30.39993,40.258454,
53,phase_0,9,中,0.88296,30.41622,40.274745,
54,phase_0,9,中,0.899611,30.432873,40.291397,
55,phase_0,9,中,0.916291,30.449559,40.308076,
56,phase_0,9,中,0.932968,30.46624,40.324753,
57,phase_0,9,中,0.949618,30.482887,40.341403,
58,phase_0,9,中,0.966269,30.499535,40.358054,
59,phase_0,9,中,0.982937,30.516202,40.374722,
60,phase_0,9,中,0.999577,30.532842,40.391362,
61,phase_0,9,中,1.016235,30.5495,40.40802,
62,phase_0,9,中,1.032925,30.566192,40.424711,
63,phase_0,9,中,1.04959,30.582855,40.441376,
64,phase_0,9,中,1.066257,30.599522,40.458042,
65,phase_0,9,中,1.082926,30.616189,40.474711,
66,phase_0,9,中,1.099605,30.63287,40.49139,
67,phase_0,9,中,1.116291,30.649566,40.508076,
68,phase_0,9,中,1.132927,30.666193,40.524713,
69,phase_0,9,中,1.149599,30.682864,40.541384,
70,phase_0,9,中,-29.533513,30.899608,9.858273,response
