frame_idx,phase,trial_id,stim_pair_id,elapsed_time,global_time,flip_time,event_marker
0,phase_0,5,土,0.0,18.450003,28.308525,stimulus_onset
1,phase_0,5,土,0.016656,18.466657,28.325182,
2,phase_0,5,土,0.033012,18.483012,28.341537,
3,phase_0,5,土,0.049701,18.499702,28.358226,
4,phase_0,5,土,0.066292,18.516292,28.374818,
5,phase_0,5,土,0.083327,18.533327,28.391853,
6,phase_0,5,土,0.099931,18.549932,28.408457,
7,phase_0,5,土,0.116329,18.566329,28.424855,
8,phase_0,5,土,0.133029,18.583029,28.441554,
9,phase_0,5,土,0.149666,18.599666,28.458191,
10,phase_0,5,土,0.166328,18.616328,28.474853,
11,phase_0,5,土,0.182998,18.632998,28.491523,
12,phase_0,5,土,0.199677,18.649677,28.508202,
13,phase_0,5,土,0.21631,18.666311,28.524835,
14,phase_0,5,土,0.233308,18.683311,28.541834,
15,phase_0,5,土,0.249657,18.699658,28.558183,
16,phase_0,5,土,0.266354,18.716354,28.574879,
17,phase_0,5,土,0.283264,18.733266,28.59179,
18,phase_0,5,土,0.299964,18.749964,28.608489,
19,phase_0,5,土,0.316324,18.766324,28.624849,
20,phase_0,5,土,0.332981,18.782981,28.641507,
21,phase_0,5,土,0.349647,18.799647,28.658172,
22,phase_0,5,土,0.366317,18.816317,28.674842,
23,phase_0,5,土,0.383008,18.833009,28.691534,
24,phase_0,5,土,0.399674,18.849674,28.708199,
25,phase_0,5,土,0.416603,18.866604,28.725128,
26,phase_0,5,土,0.433,18.883,28.741525,
27,phase_0,5,土,0.449962,18.899962,28.758487,
28,phase_0,5,土,0.466318,18.916319,28.774844,
29,phase_0,5,土,0.482978,18.932979,28.791504,
30,phase_0,5,土,0.499655,18.949656,28.80818,
31,phase_0,5,土,0.516622,18.966622,28.825148,
32,phase_0,5,土,0.532997,18.982998,28.841523,
33,phase_0,5,土,0.549688,18.999688,28.858213,
34,phase_0,5,土,0.566311,19.016311,28.874837,
35,phase_0,5,土,0.583285,19.033285,28.89181,
36,phase_0,5,土,0.599662,19.049663,28.908188,
37,phase_0,5,土,0.616302,19.066303,28.924827,
38,phase_0,5,土,0.632966,19.082967,28.941492,
39,phase_0,5,土,0.649676,19.099676,28.958201,
40,phase_0,5,土,0.666331,19.116332,28.974857,
41,phase_0,5,土,0.683042,19.133043,28.991568,
42,phase_0,5,土,0.699906,19.149907,29.008432,
43,phase_0,5,土,0.716628,19.166628,29.025153,
44,phase_0,5,土,0.732985,19.182987,29.04151,
45,phase_0,5,土,0.749693,19.199694,29.058219,
46,phase_0,5,土,0.76636,19.21636,29.074885,
47,phase_0,5,土,0.78331,19.233311,29.091836,
48,phase_0,5,土,0.799661,19.249662,29.108187,
49,phase_0,5,土,0.816348,19.266348,29.124874,
50,phase_0,5,土,0.833,19.283002,29.141526,
51,phase_0,5,土,0.849641,19.299642,29.158166,
52,phase_0,5,土,0.866611,19.316611,29.175136,
53,phase_0,5,土,0.883016,19.333017,29.191541,
54,phase_0,5,土,0.899644,19.349644,29.20817,
55,phase_0,5,土,0.916248,19.366248,29.224774,
56,phase_0,5,土,0.933273,19.383273,29.241798,
57,phase_0,5,土,0.949654,19.399654,29.258179,
58,phase_0,5,土,0.966322,19.416322,29.274848,
59,phase_0,5,土,0.982939,19.432939,29.291465,
60,phase_0,5,土,0.999943,19.449945,29.308469,
61,phase_0,5,土,1.016298,19.4663,29.324824,
62,phase_0,5,土,1.032993,19.482993,29.341518,
63,phase_0,5,土,1.049623,19.499623,29.358148,
64,phase_0,5,土,1.066288,19.516288,29.374813,
65,phase_0,5,土,1.082972,19.532972,29.391497,
66,phase_0,5,土,1.099661,19.549662,29.408186,
67,phase_0,5,土,1.11636,19.566361,29.424886,
68,phase_0,5,土,1.132984,19.582985,29.441509,
69,phase_0,5,土,1.149663,19.599664,29.458189,
70,phase_0,5,土,1.166315,19.616317,29.47484,
71,phase_0,5,土,1.183055,19.633056,29.491581,
72,phase_0,5,土,1.199942,19.649942,29.508467,
73,phase_0,5,土,1.216297,19.666297,29.524823,
74,phase_0,5,土,1.23298,19.682981,29.541506,
75,phase_0,5,土,1.24966,19.699661,29.558186,
76,phase_0,5,土,1.26624,19.716241,29.574765,
77,phase_0,5,土,1.283249,19.733249,29.591774,
78,phase_0,5,土,1.299568,19.749568,29.608093,
79,phase_0,5,土,1.316333,19.766334,29.624859,
80,phase_0,5,土,1.333254,19.783254,29.641779,
81,phase_0,5,土,1.349914,19.799914,29.658439,
82,phase_0,5,土,1.366333,19.816334,29.674858,
83,phase_0,5,土,1.383022,19.833023,29.691547,
84,phase_0,5,土,1.399949,19.84995,29.708475,
85,phase_0,5,土,1.416592,19.866592,29.725118,
86,phase_0,5,土,1.432949,19.882949,29.741474,
87,phase_0,5,土,1.44957,19.89957,29.758096,
88,phase_0,5,土,1.466209,19.916215,29.774735,
89,phase_0,5,土,1.483279,19.93328,29.791804,
90,phase_0,5,土,1.49961,19.949611,29.808136,
91,phase_0,5,土,-18.450253,20.166356,9.858273,response
