frame_idx,phase,trial_id,stim_pair_id,elapsed_time,global_time,flip_time,event_marker
0,phase_0,11,大,0.0,34.73291,44.591433,stimulus_onset
1,phase_0,11,大,0.016987,34.749897,44.60842,
2,phase_0,11,大,0.033251,34.766159,44.624684,
3,phase_0,11,大,0.049974,34.782883,44.641407,
4,phase_0,11,大,0.066642,34.79955,44.658075,
5,phase_0,11,大,0.083628,34.816535,44.67506,
6,phase_0,11,大,0.100253,34.83316,44.691685,
7,phase_0,11,大,0.116653,34.84956,44.708085,
8,phase_0,11,大,0.133549,34.866457,44.724981,
9,phase_0,11,大,0.149953,34.882861,44.741385,
10,phase_0,11,大,0.166632,34.89954,44.758065,
11,phase_0,11,大,0.18329,34.916198,44.774722,
12,phase_0,11,大,0.199967,34.932875,44.7914,
13,phase_0,11,大,0.216602,34.94951,44.808034,
14,phase_0,11,大,0.233602,34.966512,44.825035,
15,phase_0,11,大,0.24998,34.982889,44.841413,
16,phase_0,11,大,0.266619,34.999527,44.858052,
17,phase_0,11,大,0.283283,35.01619,44.874715,
18,phase_0,11,大,0.299945,35.032854,44.891378,
19,phase_0,11,大,0.316652,35.049559,44.908084,
20,phase_0,11,大,0.333304,35.066212,44.924737,
21,phase_0,11,大,0.349952,35.08286,44.941385,
22,phase_0,11,大,0.366967,35.099875,44.958399,
23,phase_0,11,大,0.383287,35.116195,44.97472,
24,phase_0,11,大,0.399974,35.132881,44.991406,
25,phase_0,11,大,0.41659,35.149498,45.008022,
26,phase_0,11,大,0.433579,35.166486,45.025011,
27,phase_0,11,大,0.449978,35.182885,45.04141,
28,phase_0,11,大,0.466924,35.199832,45.058356,
29,phase_0,11,大,0.48333,35.216238,45.074762,
30,phase_0,11,大,0.500301,35.233209,45.091733,
31,phase_0,11,大,0.516917,35.249825,45.10835,
32,phase_0,11,大,0.533242,35.26615,45.124675,
33,phase_0,11,大,0.549968,35.282876,45.1414,
34,phase_0,11,大,0.566624,35.299532,45.158057,
35,phase_0,11,大,0.583591,35.316499,45.175024,
36,phase_0,11,大,0.599946,35.332854,45.191379,
37,phase_0,11,大,0.616695,35.349605,45.208127,
38,phase_0,11,大,0.633255,35.366163,45.224687,
39,phase_0,11,大,0.650259,35.383168,45.241692,
40,phase_0,11,大,0.666607,35.399515,45.25804,
41,phase_0,11,大,0.683234,35.416142,45.274667,
42,phase_0,11,大,0.699886,35.432794,45.291318,
43,phase_0,11,大,0.716891,35.449799,45.308323,
44,phase_0,11,大,0.733325,35.466233,45.324757,
45,phase_0,11,大,0.749991,35.482899,45.341424,
46,phase_0,11,大,0.766612,35.49952,45.358044,
47,phase_0,11,大,0.783232,35.51614,45.374665,
48,phase_0,11,大,0.800047,35.532956,45.39148,
49,phase_0,11,大,0.816686,35.549594,45.408118,
50,phase_0,11,大,0.833283,35.566192,45.424716,
51,phase_0,11,大,0.849876,35.582784,45.441309,
52,phase_0,11,大,0.866584,35.599491,45.458016,
53,phase_0,11,大,0.883281,35.616189,45.474713,
54,phase_0,11,大,0.899913,35.632821,45.491345,
55,phase_0,11,大,0.916553,35.649461,45.507986,
56,phase_0,11,大,0.933242,35.666149,45.524674,
57,phase_0,11,大,0.949931,35.682838,45.541363,
58,phase_0,11,大,0.966567,35.699476,45.558,
59,phase_0,11,大,0.983223,35.716131,45.574656,
60,phase_0,11,大,1.000246,35.733154,45.591678,
61,phase_0,11,大,1.016626,35.749533,45.608058,
62,phase_0,11,大,1.033268,35.766176,45.624701,
63,phase_0,11,大,1.050269,35.783177,45.641702,
64,phase_0,11,大,1.066565,35.799473,45.657998,
65,phase_0,11,大,1.083338,35.816245,45.67477,
66,phase_0,11,大,1.099946,35.832854,45.691379,
67,phase_0,11,大,1.116572,35.84948,45.708005,
68,phase_0,11,大,1.133574,35.866482,45.725007,
69,phase_0,11,大,1.149888,35.882796,45.741321,
70,phase_0,11,大,1.166657,35.899564,45.758089,
71,phase_0,11,大,1.183278,35.916185,45.77471,
72,phase_0,11,大,1.199927,35.932835,45.79136,
73,phase_0,11,大,1.216593,35.949501,45.808026,
74,phase_0,11,大,1.233233,35.966143,45.824666,
75,phase_0,11,大,-34.73316,36.182912,9.858273,response
